"","journal","category2","journalimpactfactor","hindex","journalcountry","publisher","coverage","eigenfactorscore","whoregionjournal","unregionjournal","worldbankregionjournal","economicjournal","Genderinequalityindex2019","gender_unknown","gender_numerator","gender_denominator","unknown_denominator","gender_pct","unknown_pct","gender_neat","unknown_neat","AB_num","AB_den","AB_pct","AB_neat","EiC_num","EiC_den","EiC_pct","EiC_neat","EB_num","EB_den","EB_pct","EB_neat","EL_num","EL_den","EL_pct","EL_neat","EC_num","EC_den","EC_pct","EC_neat","WHO_AF_n","WHO_AF_pct","WHO_AF_neat","WHO_AM_n","WHO_AM_pct","WHO_AM_neat","WHO_EM_n","WHO_EM_pct","WHO_EM_neat","WHO_EU_n","WHO_EU_pct","WHO_EU_neat","WHO_SEA_n","WHO_SEA_pct","WHO_SEA_neat","WHO_unknown_n","WHO_unknown_pct","WHO_unknown_neat","WHO_WP_n","WHO_WP_pct","WHO_WP_neat","HIC_n","HIC_pct","HIC_neat","LIC_n","LIC_pct","LIC_neat","LMIC_n","LMIC_pct","LMIC_neat","eco_unknown_n","eco_unknown_pct","eco_unknown_neat","UMIC_n","UMIC_pct","UMIC_neat","WB_EAP_n","WB_EAP_pct","WB_EAP_neat","WB_ECA_n","WB_ECA_pct","WB_ECA_neat","WB_LAC_n","WB_LAC_pct","WB_LAC_neat","WB_MENA_n","WB_MENA_pct","WB_MENA_neat","WB_NA_n","WB_NA_pct","WB_NA_neat","WB_SA_n","WB_SA_pct","WB_SA_neat","WB_SSA_n","WB_SSA_pct","WB_SSA_neat","WB_unknown_n","WB_unknown_pct","WB_unknown_neat","UN_AF_n","UN_AF_pct","UN_AF_neat","UN_AP_n","UN_AP_pct","UN_AP_neat","UN_EE_n","UN_EE_pct","UN_EE_neat","UN_LAC_n","UN_LAC_pct","UN_LAC_neat","UN_unknown_n","UN_unknown_pct","UN_unknown_neat","UN_WEO_n","UN_WEO_pct","UN_WEO_neat"
"11","AIDS Education and Prevention","PEO Health","1.524",73,"United States","Guilford Publications","1989-2020",0.00186,"Americas","Western European and Other","North America","High-income",".204",0,12,45,45,"26%","0%","26% (12)","0% (0)",NA,NA,NA,NA,"0","1","0.0%","0.0% (0)","12","45","26.7%","26.7% (12)","0","5","0.0%","0.0% (0)",NA,NA,NA,NA,"1","2.2%","2.2% (1)","38","84.4%","84.4% (38)",NA,NA,NA,"2","4.4%","4.4% (2)",NA,NA,NA,NA,NA,NA,"4","8.9%","8.9% (4)","42","93.3%","93.3% (42)",NA,NA,NA,"1","2.2%","2.2% (1)",NA,NA,NA,"2","4.4%","4.4% (2)","4","8.9%","8.9% (4)","1","2.2%","2.2% (1)",NA,NA,NA,"1","2.2%","2.2% (1)","38","84.4%","84.4% (38)",NA,NA,NA,"1","2.2%","2.2% (1)",NA,NA,NA,"1","2.2%","2.2% (1)","2","4.4%","4.4% (2)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"42","93.3%","93.3% (42)"
"12","AIDS Patient Care and STDS","PEO Health","3.795",85,"United States","Mary Ann Liebert Inc.","1996-2020",0.00586,"Americas","Western European and Other","North America","High-income",".204",0,12,33,33,"36%","0%","36% (12)","0% (0)",NA,NA,NA,NA,"0","1","0.0%","0.0% (0)","12","33","36.4%","36.4% (12)","1","5","20.0%","20.0% (1)",NA,NA,NA,NA,"1","3.0%","3.0% (1)","23","69.7%","69.7% (23)","1","3.0%","3.0% (1)","2","6.1%","6.1% (2)","2","6.1%","6.1% (2)",NA,NA,NA,"4","12.1%","12.1% (4)","28","84.8%","84.8% (28)",NA,NA,NA,"1","3.0%","3.0% (1)",NA,NA,NA,"4","12.1%","12.1% (4)","5","15.2%","15.2% (5)","2","6.1%","6.1% (2)","1","3.0%","3.0% (1)","1","3.0%","3.0% (1)","22","66.7%","66.7% (22)","1","3.0%","3.0% (1)","1","3.0%","3.0% (1)",NA,NA,NA,"1","3.0%","3.0% (1)","6","18.2%","18.2% (6)",NA,NA,NA,"1","3.0%","3.0% (1)",NA,NA,NA,"25","75.8%","75.8% (25)"
"13","Air Quality Atmosphere and Health","Environment","2.87",45,"Netherlands","Springer Netherlands","2008-2020",0.00237,"Europe","Western European and Other","Europe and Central Asia","High-income",".043",1,8,39,40,"20%","2%","20% (8)","2% (1)",NA,NA,NA,NA,"0","2","0.0%","0.0% (0)","8","39","20.5%","20.5% (8)","6","18","33.3%","33.3% (6)",NA,NA,NA,NA,NA,NA,NA,"14","35.0%","35.0% (14)",NA,NA,NA,"12","30.0%","30.0% (12)",NA,NA,NA,NA,NA,NA,"14","35.0%","35.0% (14)","32","80.0%","80.0% (32)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"8","20.0%","20.0% (8)","14","35.0%","35.0% (14)","12","30.0%","30.0% (12)","1","2.5%","2.5% (1)",NA,NA,NA,"13","32.5%","32.5% (13)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13","32.5%","32.5% (13)","1","2.5%","2.5% (1)","1","2.5%","2.5% (1)",NA,NA,NA,"25","62.5%","62.5% (25)"
"14","AJAR-African Journal of AIDS Research","PEO Health",".888",28,"United Kingdom","Taylor and Francis Ltd.","2003-2020",0.00094,"Europe","Western European and Other","Europe and Central Asia","High-income",".118",1,12,25,26,"48%","4%","48% (12)","4% (1)",NA,NA,NA,NA,"0","1","0.0%","0.0% (0)","12","25","48.0%","48.0% (12)","5","10","50.0%","50.0% (5)",NA,NA,NA,NA,"13","50.0%","50.0% (13)","8","30.8%","30.8% (8)",NA,NA,NA,"4","15.4%","15.4% (4)",NA,NA,NA,NA,NA,NA,"1","3.8%","3.8% (1)","13","50.0%","50.0% (13)","1","3.8%","3.8% (1)","4","15.4%","15.4% (4)",NA,NA,NA,"8","30.8%","30.8% (8)","1","3.8%","3.8% (1)","4","15.4%","15.4% (4)","1","3.8%","3.8% (1)",NA,NA,NA,"7","26.9%","26.9% (7)",NA,NA,NA,"13","50.0%","50.0% (13)",NA,NA,NA,"13","50.0%","50.0% (13)",NA,NA,NA,NA,NA,NA,"1","3.8%","3.8% (1)",NA,NA,NA,"12","46.2%","46.2% (12)"
"15","Ambio","Environment","4.778",127,"Netherlands","Allen Press Inc.","1973-2020",0.00952,"Europe","Western European and Other","Europe and Central Asia","High-income",".043",0,26,57,57,"46%","0%","46% (26)","0% (0)","17","36","47.2%","47.2% (17)","0","1","0.0%","0.0% (0)","9","21","42.9%","42.9% (9)","0","2","0.0%","0.0% (0)",NA,NA,NA,NA,"3","5.3%","5.3% (3)","8","14.0%","14.0% (8)",NA,NA,NA,"35","61.4%","61.4% (35)","6","10.5%","10.5% (6)",NA,NA,NA,"5","8.8%","8.8% (5)","43","75.4%","75.4% (43)",NA,NA,NA,"6","10.5%","10.5% (6)",NA,NA,NA,"8","14.0%","14.0% (8)","7","12.3%","12.3% (7)","35","61.4%","61.4% (35)","4","7.0%","7.0% (4)",NA,NA,NA,"4","7.0%","7.0% (4)","4","7.0%","7.0% (4)","3","5.3%","5.3% (3)",NA,NA,NA,"3","5.3%","5.3% (3)","8","14.0%","14.0% (8)","1","1.8%","1.8% (1)","4","7.0%","7.0% (4)",NA,NA,NA,"41","71.9%","71.9% (41)"
"16","American Journal of Community Psychology","PEO Health","1.509",112,"United States","Wiley-Blackwell","1973-2020",0.0035,"Americas","Western European and Other","North America","High-income",".204",0,50,87,87,"58%","0%","58% (50)","0% (0)",NA,NA,NA,NA,"1","1","100.0%","100.0% (1)","50","87","57.5%","57.5% (50)","4","7","57.1%","57.1% (4)",NA,NA,NA,NA,NA,NA,NA,"79","90.8%","90.8% (79)",NA,NA,NA,"3","3.4%","3.4% (3)",NA,NA,NA,NA,NA,NA,"5","5.7%","5.7% (5)","86","98.9%","98.9% (86)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1.1%","1.1% (1)","5","5.7%","5.7% (5)","3","3.4%","3.4% (3)","2","2.3%","2.3% (2)",NA,NA,NA,"77","88.5%","88.5% (77)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1.1%","1.1% (1)",NA,NA,NA,"2","2.3%","2.3% (2)",NA,NA,NA,"84","96.6%","96.6% (84)"
"17","American Journal of Epidemiology","PEO Health","4.526",256,"United Kingdom","Oxford University Press","1921-2020",0.03488,"Europe","Western European and Other","Europe and Central Asia","High-income",".118",0,30,57,57,"52%","0%","52% (30)","0% (0)",NA,NA,NA,NA,"0","1","0.0%","0.0% (0)","30","57","52.6%","52.6% (30)","21","42","50.0%","50.0% (21)",NA,NA,NA,NA,NA,NA,NA,"53","93.0%","93.0% (53)","1","1.8%","1.8% (1)","2","3.5%","3.5% (2)",NA,NA,NA,NA,NA,NA,"1","1.8%","1.8% (1)","56","98.2%","98.2% (56)",NA,NA,NA,"1","1.8%","1.8% (1)",NA,NA,NA,NA,NA,NA,"1","1.8%","1.8% (1)","2","3.5%","3.5% (2)",NA,NA,NA,"1","1.8%","1.8% (1)","53","93.0%","93.0% (53)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1.8%","1.8% (1)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"56","98.2%","98.2% (56)"
"18","American Journal of Health Behavior","PEO Health","1.224",68,"United States","PNG Publications","1996-2020",0.00299,"Americas","Western European and Other","North America","High-income",".204",0,31,67,67,"46%","0%","46% (31)","0% (0)",NA,NA,NA,NA,"0","1","0.0%","0.0% (0)","31","67","46.3%","46.3% (31)","2","10","20.0%","20.0% (2)",NA,NA,NA,NA,"1","1.5%","1.5% (1)","62","92.5%","92.5% (62)","1","1.5%","1.5% (1)","1","1.5%","1.5% (1)",NA,NA,NA,NA,NA,NA,"2","3.0%","3.0% (2)","65","97.0%","97.0% (65)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","3.0%","3.0% (2)","2","3.0%","3.0% (2)","1","1.5%","1.5% (1)","1","1.5%","1.5% (1)","1","1.5%","1.5% (1)","61","91.0%","91.0% (61)",NA,NA,NA,"1","1.5%","1.5% (1)",NA,NA,NA,"1","1.5%","1.5% (1)","2","3.0%","3.0% (2)",NA,NA,NA,"1","1.5%","1.5% (1)",NA,NA,NA,"63","94.0%","94.0% (63)"
"19","American Journal of Health Promotion","PEO Health","2.232",91,"United States","SAGE Publications Inc.","1986-2020",0.0044,"Americas","Western European and Other","North America","High-income",".204",0,73,137,137,"54%","0%","54% (73)","0% (0)",NA,NA,NA,NA,"0","1","0.0%","0.0% (0)","73","137","53.3%","53.3% (73)","3","5","60.0%","60.0% (3)",NA,NA,NA,NA,NA,NA,NA,"126","92.0%","92.0% (126)",NA,NA,NA,"5","3.6%","3.6% (5)",NA,NA,NA,NA,NA,NA,"6","4.4%","4.4% (6)","135","98.5%","98.5% (135)",NA,NA,NA,"1","0.7%","0.7% (1)",NA,NA,NA,"1","0.7%","0.7% (1)","6","4.4%","4.4% (6)","5","3.6%","3.6% (5)","1","0.7%","0.7% (1)",NA,NA,NA,"125","91.2%","91.2% (125)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","1.5%","1.5% (2)",NA,NA,NA,"1","0.7%","0.7% (1)",NA,NA,NA,"134","97.8%","97.8% (134)"
"20","American Journal of Industrial Medicine","PEO Health","1.739",104,"United States","Wiley-Liss Inc.","1980-2020",0.00418,"Americas","Western European and Other","North America","High-income",".204",1,19,64,65,"30%","2%","30% (19)","2% (1)","1","2","50.0%","50.0% (1)","0","1","0.0%","0.0% (0)","18","62","29.0%","29.0% (18)","2","14","14.3%","14.3% (2)",NA,NA,NA,NA,"3","4.6%","4.6% (3)","53","81.5%","81.5% (53)",NA,NA,NA,"5","7.7%","7.7% (5)",NA,NA,NA,NA,NA,NA,"4","6.2%","6.2% (4)","61","93.8%","93.8% (61)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","6.2%","6.2% (4)","4","6.2%","6.2% (4)","3","4.6%","4.6% (3)","1","1.5%","1.5% (1)","2","3.1%","3.1% (2)","52","80.0%","80.0% (52)",NA,NA,NA,"3","4.6%","4.6% (3)",NA,NA,NA,"3","4.6%","4.6% (3)","2","3.1%","3.1% (2)",NA,NA,NA,"1","1.5%","1.5% (1)",NA,NA,NA,"59","90.8%","90.8% (59)"
"21","American Journal of Infection Control","PEO Health","2.294",107,"United States","Mosby Inc.","1980-2020",0.01438,"Americas","Western European and Other","North America","High-income",".204",0,33,51,51,"64%","0%","64% (33)","0% (0)",NA,NA,NA,NA,"1","1","100.0%","100.0% (1)","33","51","64.7%","64.7% (33)","9","11","81.8%","81.8% (9)",NA,NA,NA,NA,NA,NA,NA,"37","72.5%","72.5% (37)",NA,NA,NA,"7","13.7%","13.7% (7)",NA,NA,NA,NA,NA,NA,"7","13.7%","13.7% (7)","49","96.1%","96.1% (49)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","3.9%","3.9% (2)","7","13.7%","13.7% (7)","6","11.8%","11.8% (6)","2","3.9%","3.9% (2)","1","2.0%","2.0% (1)","35","68.6%","68.6% (35)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","2.0%","2.0% (1)",NA,NA,NA,"2","3.9%","3.9% (2)",NA,NA,NA,"48","94.1%","94.1% (48)"
"22","American Journal of Mens Health","PEO Health","1.605",34,"United States","SAGE Publications Inc.","2007-2020",0.00355,"Americas","Western European and Other","North America","High-income",".204",1,2,25,26,"8%","4%","8% (2)","4% (1)","0","1","0.0%","0.0% (0)","0","1","0.0%","0.0% (0)","2","24","8.3%","8.3% (2)","1","2","50.0%","50.0% (1)",NA,NA,NA,NA,NA,NA,NA,"23","88.5%","88.5% (23)",NA,NA,NA,"3","11.5%","11.5% (3)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"26","100.0%","100.0% (26)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","11.5%","11.5% (3)",NA,NA,NA,NA,NA,NA,"23","88.5%","88.5% (23)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"26","100.0%","100.0% (26)"
"23","American Journal of Preventive Medicine","PEO Health","4.42",216,"United States","Elsevier Inc.","1985-2020",0.04023,"Americas","Western European and Other","North America","High-income",".204",0,7,26,26,"26%","0%","26% (7)","0% (0)",NA,NA,NA,NA,"0","1","0.0%","0.0% (0)","7","26","26.9%","26.9% (7)","1","5","20.0%","20.0% (1)",NA,NA,NA,NA,NA,NA,NA,"25","96.2%","96.2% (25)",NA,NA,NA,NA,NA,NA,"1","3.8%","3.8% (1)",NA,NA,NA,NA,NA,NA,"25","96.2%","96.2% (25)",NA,NA,NA,"1","3.8%","3.8% (1)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"25","96.2%","96.2% (25)","1","3.8%","3.8% (1)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","3.8%","3.8% (1)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"25","96.2%","96.2% (25)"
